#ID,id_fnl,RADECsource,RA,DEC,angdist,FeHfinal,eFeHfinal,FeHDavide,eFeHDavide,typ,Blaz,field,Per_Clement,PerBVIR_all,PeroptNIR,PerNIR,PerMIRwise,best,quP,mxf,T0max,mnf,T0min,fileV,orV,tensV,quV,amplV,erramplV,blazminV,blazmaxV,magV,errmagV,fileB,orB,tensB,quB,amplB,erramplB,blazminB,blazmaxB,magB,errmagB,fileI,orI,tensI,quI,amplI,erramplI,blazminI,blazmaxI,magI,errmagI,fileR,orR,tensR,quR,amplR,erramplR,blazminR,blazmaxR,magR,errmagR,fileU,orU,tensU,quU,amplU,erramplU,blazminU,blazmaxU,magU,errmagU,fileJ,orJ,tensJ,quJ,amplJ,erramplJ,blazminJ,blazmaxJ,magJ,errmagJ,fileH,orH,tensH,quH,amplH,erramplH,blazminH,blazmaxH,magH,errmagH,fileK,orK,tensK,quK,amplK,erramplK,blazminK,blazmaxK,magK,errmagK,Oost
V3,95909,0,201.483917,-47.43175,9.004934,-1.72,0.04,9.99,9.99,0,,,0.8413,0.84126158,0.84126158,0.84126158,-99.0,0,0,1,2455715.5717,-99,-99,otnew_kal9704,3,8.0,1,0.761,-99.0,-99.0,-99.0,14.3913,0.0041,nobad,3,0.1,0,0.934,-99.0,-99.0,-99.0,14.8883,0.0053,nobad,4,0.35,-98,0.401,-99.0,-99,-99,13.6846,0.0103,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,4,0.8,-98,1.054,-99.0,-99,-99,15.017,0.0151,all170708b4,97,0.42,1,0.353,0.029,-99.0,-99.0,13.1818,0.0074,all170708b4,97,0.85,0,0.3,0.029,-99.0,-99.0,12.8945,0.0073,all170708b4,3,0.39,1,0.285,0.027,-99.0,-99.0,12.8644,0.0087,OoII
V4,151110,0,201.553833,-47.405389,7.2327,-1.96,0.08,-1.82,0.1,0,,,0.6273,0.62731846,0.62731846,0.62731846,-99.0,0,0,1,2454705.2537,-99,-99,nobad_kal9704,3,50.0,1,1.119,-99.0,-99.0,-99.0,14.4672,0.0089,nobad_kal9704,4,7.0,1,1.525,-99.0,-99.0,-99.0,14.8817,0.0051,nobad_kal9704,4,8.0,0,0.904,-99.0,-99,-99,13.7865,0.0177,nobad,99,0.0,0,-99.0,-99.0,-99,-99,14.462,0.1805,nobad_u,99,0.0,0,-99.0,-99.0,-99,-99,15.207,0.1854,all170708b4,3,0.2,0,0.494,0.054,-99.0,-99.0,13.3784,0.0076,all170708b4,4,0.45,0,0.333,0.031,-99.0,-99.0,13.1057,0.0081,all170708b4,3,1.6,0,0.316,0.02,-99.0,-99.0,13.0771,0.009,OoII
V5,174660,0,201.576333,-47.386944,7.336468,-1.22,0.43,-1.4,0.03,0,1,,0.5153,0.51528002,0.51528002,0.51528002,-99.0,0,1,1,2452743.4918,-99,-99,nobad,3,62.0,1,1.245,-99.0,0.852,1.271,14.7023,0.0114,nobad,3,12.0,1,1.021,-99.0,-99.0,-99.0,15.1966,0.0135,nob98,4,14.0,0,0.437,-99.0,-99,-99,14.1744,0.0306,nobad,3,1.0,1,1.118,-99.0,-99,-99,14.3593,0.012,nobad_u,4,10.0,-98,0.972,-99.0,-99,-99,15.3025,0.028,all170708b4,5,6.1,0,0.441,0.028,-99.0,-99.0,13.6685,0.0121,all170708b4,4,4.9,0,0.354,0.043,-99.0,-99.0,13.4882,0.0187,all170708b4,4,4.2,0,0.334,0.016,-99.0,-99.0,13.4094,0.0116,OoI
V7,411423,0,201.75425,-47.233389,14.972834,-1.66,0.07,-1.76,0.03,0,,,0.713,0.7130342,0.7130342,0.7130342,-99.0,0,-1,1,2449191.0218,-99,-99,nobad_kal97,4,1.6,1,0.95,-99.0,-99.0,-99.0,14.5938,0.0101,nobad_kal97,3,1.7,-99,0.885,-99.0,-99.0,-99.0,14.8958,0.0103,nobad_kal97,4,0.2,-98,0.293,-99.0,-99,-99,13.7675,0.0121,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,4,1.2,-99,0.739,-99.0,-99,-99,15.0677,0.0165,all170708b4,5,0.1,1,0.428,0.041,-99.0,-99.0,13.2893,0.0048,all170708b4,97,0.08,0,0.305,0.025,-99.0,-99.0,13.0177,0.0061,all170708b4,4,0.2,0,0.312,0.028,-99.0,-99.0,12.9755,0.0065,OoII
V8,589575,0,201.951792,-47.472444,10.455503,-1.78,0.45,-2.19,0.07,0,,,0.5213,0.52132593,0.52132593,0.52132593,-99.0,0,0,1,2452443.1571,-99,-99,allnew_kal9704,3,30.0,1,1.263,-99.0,-99.0,-99.0,14.6714,0.0052,nobad,5,0.4,-98,1.467,-99.0,-99.0,-99.0,15.016,0.0083,nobad,4,0.3,0,0.695,-99.0,-99,-99,14.0456,0.014,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,4,1.5,-99,1.368,-99.0,-99,-99,15.1264,0.0216,all170708b4,1,0.1,0,0.449,0.056,-99.0,-99.0,13.5769,0.0043,all170708b4,3,0.7,0,0.344,0.018,-99.0,-99.0,13.341,0.0089,all170708b4,4,0.2,0,0.295,0.017,-99.0,-99.0,13.305,0.005,OoI
V9,105270,0,201.498208,-47.440139,8.298623,-1.62,0.31,9.99,9.99,0,1,,0.5235,0.52346446,0.52335114,0.52335114,-99.0,1,-1,1,2452446.1982,-99,-99,otnew_kal9704,2,112.0,1,0.923,-99.0,0.7,1.17,14.7788,0.0056,otnew_kal9704,4,48.0,0,1.348,-99.0,-99.0,-99.0,15.204,0.01,otnew_kal9704,4,7.5,0,0.516,-99.0,-99,-99,14.1754,0.0234,nobad,99,0.0,0,-99.0,-99.0,-99,-99,14.498,0.1789,nobad_u,99,0.0,0,-99.0,-99.0,-99,-99,15.5925,0.4028,all170708b4,5,2.0,1,0.32,0.05,-99.0,-99.0,13.6409,0.0102,all170708b4,97,0.47,0,0.175,0.033,-99.0,-99.0,13.4298,0.0053,all170708b4,5,3.0,0,0.225,0.025,-99.0,-99.0,13.3778,0.0095,OoI
V10,128819,0,201.529125,-47.410306,7.887333,-1.87,0.02,-2.23,0.04,1,,,0.375,0.37488161,0.37475609,0.37475609,-99.0,2,-1,3,2452446.22,-99,-99,nobad,4,162.0,1,0.421,-99.0,-99.0,-99.0,14.5047,0.0132,nobad,4,22.0,0,0.565,-99.0,-99.0,-99.0,14.826,0.0165,nob98,2,8.0,1,0.28,-99.0,-99,-99,13.9191,0.0235,nobad,3,6.5,0,0.539,-99.0,-99,-99,14.0275,0.0184,nobad_u,4,13.0,-98,0.694,-99.0,-99,-99,14.8689,0.0308,all170708b4,97,2.1,0,0.153,0.013,-99.0,-99.0,13.5514,0.006,all170708b4,5,1.2,-99,0.092,0.013,-99.0,-99.0,13.3158,0.0173,all170708b4,4,2.0,0,0.08,0.01,-99.0,-99.0,13.3133,0.0095,
V11,234751,0,201.62725,-47.383889,6.353434,-1.89,0.18,-1.88,0.05,0,1,,0.5648,0.5648065,0.5648065,0.5648065,-99.0,0,-2,-99,-99.0,-99,-99,dan95,3,3.0,1,0.893,-99.0,0.453,1.017,14.4757,0.0351,dan95,3,4.0,0,1.114,-99.0,0.784,1.261,14.8658,0.0259,nobad,2,13.0,1,0.576,-99.0,-99,-99,13.8864,0.032,nobad,99,0.0,0,-99.0,-99.0,-99,-99,14.406,0.2209,nobad_u,4,6.0,-99,0.675,-99.0,-99,-99,15.0451,0.0204,all170708b4,3,0.2,0,0.248,0.023,-99.0,-99.0,13.4739,0.0053,all170708b4,3,1.3,0,0.189,0.023,-99.0,-99.0,13.209,0.0079,all170708b4,5,0.7,1,0.196,0.016,-99.0,-99.0,13.1893,0.0062,OoI
V12,217444,0,201.613208,-47.401861,5.706794,-1.71,0.0,-2.37,0.04,1,,,0.3868,0.3867673,0.38677657,0.38677657,-99.0,1,2,1,2452443.7065,-99,-99,nobad,2,19.0,1,0.438,-99.0,-99.0,-99.0,14.4982,0.0084,nobad,4,4.0,1,0.562,-99.0,-99.0,-99.0,14.8911,0.0159,nobad,3,8.0,1,0.303,-99.0,-99,-99,13.9154,0.0298,nobad,3,0.5,1,0.338,-99.0,-99,-99,14.2072,0.0092,nobad_u,3,10.0,-98,0.606,-99.0,-99,-99,14.95,0.0236,all170708b4,3,1.3,-99,0.172,0.019,-99.0,-99.0,13.5453,0.0112,all170708b4,5,0.14,-99,0.118,0.021,-99.0,-99.0,13.2992,0.015,all170708b4,5,0.4,-99,0.113,0.015,-99.0,-99.0,13.2813,0.0101,
V13,101281,0,201.492375,-47.422806,8.873415,-1.8,0.23,9.99,9.99,0,,,0.669,0.66904841,0.66904841,0.66904841,-99.0,0,0,-99,-99.0,-99,-99,otnew_kal9704,3,16.0,1,0.959,-99.0,-99.0,-99.0,14.4709,0.0042,nobad,3,0.6,0,1.215,-99.0,-99.0,-99.0,14.8726,0.007,nobad,4,0.6,-98,0.44,-99.0,-99,-99,13.8281,0.0092,nobad,-99,0.0,-99,-99.0,-99.0,-99,-99,-99.0,-99.0,nobad_u,4,2.5,-99,0.934,-99.0,-99,-99,15.0251,0.0223,all170708b4,4,1.2,1,0.405,0.026,-99.0,-99.0,13.3147,0.0077,all170708b4,3,1.0,0,0.33,0.028,-99.0,-99.0,13.0388,0.0079,all170708b4,4,1.2,0,0.307,0.015,-99.0,-99.0,13.011,0.0084,OoII
