"","V1","V2"
"391","V77_3_nobot99.fas",186
"39","NV354_3_nobad.fas",188
"127","V12_3_nobad.fas",188
"333","V4_3_nobad_kal9704.fas",188
"372","V66_3_nobot.fas",188
"205","V169_3_nobad.fas",189
"251","V270_3_nobad.fas",189
"382","V71_3_nobot.fas",189
"164","V144_3_nobad.fas",190
"174","V147_3_nobot.fas",190
"98","V117_3_nobot.fas",192
"154","V141_3_nobad.fas",192
"292","V30_3_nobot.fas",192
"351","V59_3_nobot.fas",192
"76","V10_4_nobad.fas",195
"197","V165_3_allnew.fas",196
"243","V267_3_nobad.fas",200
"318","V43_3_allnew_kal04.fas",200
"362","V61_3_allnew_kal9704.fas",201
"429","V97_3_allnew_kal9704.fas",201
"85","V112_3_allnew_kal9704.fas",202
"108","V120_3_allnew_kal9704.fas",204
"328","V48_3_allnew.fas",204
"358","V60_3_allnew_kal9704.fas",204
"94","V115_2_nobad.fas",210
"97","V117_2_nobot.fas",210
"123","V128_2_nobad.fas",210
"291","V30_2_nobot.fas",210
"299","V34_2_nobad.fas",210
"350","V59_2_nobot.fas",210
"54","V102_2_nobad.fas",213
"173","V147_2_nobot.fas",214
"75","V10_2_nobad.fas",216
"126","V12_2_nobad.fas",216
"223","V21_2_nobad.fas",216
"232","V263_2_nobad.fas",216
"332","V4_2_nobad_kal9704.fas",216
"338","V51_2_nobad.fas",216
"347","V58_2_nobad.fas",216
"354","V5_2_nobad.fas",216
"371","V66_2_nobot.fas",216
"19","NV347_2_nobad.fas",217
"204","V169_2_nobad.fas",217
"261","V274_2_nobad.fas",217
"301","V35_2_nobad.fas",217
"390","V77_2_nobot99.fas",217
"418","V91_3_allnew_kal04.fas",248
"6","NV341_3_nob98_kal04.fas",250
"29","NV351_3_nobad.fas",250
"201","V166_3_nob98_kal9704.fas",251
"253","V271_1_nob99.fas",251
"255","V271_3_nob99.fas",254
"398","V82_1_nobad.fas",256
"405","V86_2_nobad.fas",271
"3","NV339_4_nobad.fas",275
"7","NV342_4_nobad_u.fas",275
"10","NV343_4_nobad.fas",275
"13","NV344_4_nobad.fas",275
"17","NV346_4_nobad.fas",275
"20","NV347_4_allnew.fas",275
"23","NV349_4_nobad.fas",275
"30","NV351_4_nobad.fas",275
"33","NV352_4_nobad.fas",275
"36","NV353_4_nobad.fas",275
"40","NV354_4_nobad.fas",275
"43","NV366_4_allnew.fas",275
"46","NV399_4_nobad.fas",275
"49","V100_4_nobad.fas",275
"55","V102_4_nobad.fas",275
"58","V103_4_nobad.fas",275
"64","V106_4_allnew_kal04.fas",275
"67","V107_4_nobad.fas",275
"70","V108_4_nobad.fas",275
"73","V109_4_nobad.fas",275
"79","V110_4_nobad.fas",275
"82","V111_4_nobad.fas",275
"86","V112_4_allnew_kal9704.fas",275
"89","V113_4_nobad.fas",275
"92","V114_4_nobad.fas",275
"95","V115_4_nobad.fas",275
"99","V117_4_nobot.fas",275
"102","V118_4_nobad.fas",275
"105","V119_4_nobad.fas",275
"112","V121_4_nobad.fas",275
"115","V122_4_nobad.fas",275
"124","V128_4_nobad.fas",275
"128","V12_4_nobad.fas",275
"134","V131_4_nobad.fas",275
"137","V132_4_nobad.fas",275
"140","V135_4_nobad.fas",275
"143","V136_4_nobad.fas",275
"146","V137_4_nobad.fas",275
"149","V139_4_nobad.fas",275
"151","V140_4_nobad.fas",275
"155","V141_4_nobad.fas",275
"161","V143_4_nobad.fas",275
"165","V144_4_nobad.fas",275
"168","V145_4_nobad.fas",275
"171","V146_4_nobad.fas",275
"175","V147_4_nobad.fas",275
"182","V154_4_nobad.fas",275
"185","V155_4_nobad.fas",275
"188","V157_4_nobad.fas",275
"191","V158_4_nobot.fas",275
"194","V15_4_nobad.fas",275
"198","V165_4_nobad.fas",275
"202","V166_4_nob98_kal9704.fas",275
"206","V169_4_nobad.fas",275
"221","V20_4_nobad.fas",275
"224","V21_4_nobad.fas",275
"227","V23_4_nobad.fas",275
"230","V25_4_nobad.fas",275
"233","V263_4_nobad.fas",275
"240","V266_4_nobad.fas",275
"244","V267_4_nobad.fas",275
"248","V26_4_nob95.fas",275
"252","V270_4_nobad.fas",275
"259","V273_4_nobad.fas",275
"262","V274_4_nobad.fas",275
"265","V275_4_nobad.fas",275
"269","V276_4_allnew_kal9704.fas",275
"273","V277_4_nobad.fas",275
"276","V27_4_nobad.fas",275
"279","V280_4_nob95.fas",275
"289","V29_4_allnew.fas",275
"303","V35_4_nobad.fas",275
"313","V40_4_nobad.fas",275
"319","V43_4_allnew_kal04.fas",275
"329","V48_4_allnew.fas",275
"339","V51_4_nobad.fas",275
"348","V58_4_nobad.fas",275
"352","V59_4_nobot.fas",275
"355","V5_4_nobad.fas",275
"359","V60_4_allnew_kal9704.fas",275
"363","V61_4_allnew_kal9704.fas",275
"366","V62_4_nobad.fas",275
"373","V66_4_nobad.fas",275
"406","V86_4_nobad.fas",275
"409","V87_4_nobad.fas",275
"412","V89_4_nobad.fas",275
"419","V91_4_allnew_kal04.fas",275
"426","V96_4_nobad.fas",275
"430","V97_4_allnew_kal9704.fas",275
"109","V120_4_allnew_kal9704.fas",287
"16","NV346_3_nobad.fas",308
"25","NV350_2_nob98_kal04.fas",326
"288","V29_3_allnew.fas",328
"62","V106_2_allnew_kal04.fas",332
